framework,projeto,data_do_commit,hoje,Lifetime,commits
Android,kaelaela/OpenGraphView,2016-04-01 13:45:32,2019-07-04 18:53:45.743336,1189,74
Android,blazsolar/HorizontalPicker,2014-01-24 05:18:02,2019-07-04 18:53:45.743336,1987,99
Android,omkarmoghe/Pokemap,2016-07-20 00:17:40,2019-07-04 18:53:45.743336,1079,14
Android,nshmura/RecyclerTabLayout,2015-07-27 20:09:44,2019-07-04 18:53:45.743336,1437,70
Android,CoXier/LowPoly,2016-09-14 21:36:15,2019-07-04 18:53:45.743336,1022,10
Android,AppLozic/Applozic-Android-SDK,2015-08-11 13:08:41,2019-07-04 18:53:45.743336,1423,1764
Android,maksim88/PasswordEditText,2016-01-16 13:13:05,2019-07-04 18:53:45.743336,1265,33
Android,HITGIF/TextFieldBoxes,2017-08-24 20:26:15,2019-07-04 18:53:45.743336,678,230
Android,payatu/diva-android,2016-01-15 15:30:52,2019-07-04 18:53:45.743336,1266,2
Android,requery/sqlite-android,2016-04-03 22:47:57,2019-07-04 18:53:45.743336,1186,142
Android,uber/rave,2016-04-22 13:18:47,2019-07-04 18:53:45.743336,1168,93
Android,JakeWharton/SwipeToDismissNOA,2012-06-23 16:50:19,2019-07-04 18:53:45.743336,2567,10
Android,JorenSix/TarsosDSP,2011-03-25 16:36:23,2019-07-04 18:53:45.743336,3023,293
Android,tarek360/RichPath,2017-07-07 11:03:45,2019-07-04 18:53:45.743336,727,31
Android,MOLO17/CustomizableCalendar,2017-07-04 10:56:43,2019-07-04 18:53:45.743336,730,65
Android,quiqueqs/BabushkaText,2014-11-30 09:02:57,2019-07-04 18:53:45.743336,1677,8
Android,Beseting/PhotoBrowse,2017-08-30 09:26:55,2019-07-04 18:53:45.743336,673,67
Android,markzhai/init,2015-10-04 00:04:13,2019-07-04 18:53:45.743336,1369,27
Android,47deg/appsly-android-rest,2012-09-22 04:48:40,2019-07-04 18:53:45.743336,2476,188
Android,LuckyJayce/GuideHelper,2016-04-06 11:23:40,2019-07-04 18:53:45.743336,1184,30
Android,consenlabs/token-core-android,2018-10-23 12:19:10,2019-07-04 18:53:45.743336,254,10
Android,Xiaofei-it/Hermes,2016-04-26 20:22:15,2019-07-04 18:53:45.743336,1163,89
Android,orhanobut/bee,2014-12-06 21:24:00,2019-07-04 18:53:45.743336,1670,69
Android,omadahealth/CircularBarPager,2014-12-09 14:56:42,2019-07-04 18:53:45.743336,1668,87
Android,MartinRGB/GiftCard-Android,2015-05-20 15:19:01,2019-07-04 18:53:45.743336,1506,11
Android,tibi1712/FoldingNavigationDrawer-Android,2013-09-23 08:06:25,2019-07-04 18:53:45.743336,2110,12
Android,cattong/YiBo,2013-02-27 12:07:54,2019-07-04 18:53:45.743336,2318,32
Android,ksvc/KSYStreamer_Android,2015-12-22 11:31:38,2019-07-04 18:53:45.743336,1290,285
Android,ruboto/ruboto-irb,2009-08-01 23:45:18,2019-07-04 18:53:45.743336,3623,665
Android,aliyun/alicloud-android-demo,2015-09-08 10:27:51,2019-07-04 18:53:45.743336,1395,322
Android,sbakhtiarov/gif-movie-view,2013-02-14 15:31:43,2019-07-04 18:53:45.743336,2331,9
Android,google/android-classyshark,2015-10-12 14:47:08,2019-07-04 18:53:45.743336,1361,605
Android,pavlospt/RxFile,2015-12-08 18:09:51,2019-07-04 18:53:45.743336,1304,58
Android,ricknout/lens-launcher,2016-04-01 01:31:18,2019-07-04 18:53:45.743336,1189,256
Android,sdwfqin/AndroidQuick,2018-01-29 15:12:38,2019-07-04 18:53:45.743336,521,183
Android,hitherejoe/Notifi,2016-03-23 21:45:18,2019-07-04 18:53:45.743336,1197,9
Android,andrebts/login-basics,2015-10-09 21:39:16,2019-07-04 18:53:45.743336,1363,28
Android,tvbarthel/ChaseWhisplyProject,2013-06-30 20:26:26,2019-07-04 18:53:45.743336,2194,873
Android,matthewrkula/AnimatedPathView,2014-01-30 12:09:13,2019-07-04 18:53:45.743336,1981,9
Android,yewei02538/HiPermission,2017-05-11 16:03:24,2019-07-04 18:53:45.743336,784,23
Android,kaaes/spotify-web-api-android,2014-11-28 14:51:11,2019-07-04 18:53:45.743336,1679,191
Android,jaikydota/Android-ImagesPickers,2016-08-02 23:33:21,2019-07-04 18:53:45.743336,1065,60
Android,AndroidMsky/RandomTextView,2016-11-02 17:15:43,2019-07-04 18:53:45.743336,974,37
Android,yaa110/Piclice,2015-06-01 17:41:29,2019-07-04 18:53:45.743336,1494,17
Android,AlexKorovyansky/android-fb-like-slideout-navigation,2012-03-07 14:32:39,2019-07-04 18:53:45.743336,2675,13
Android,linroid/FilterMenu,2015-03-12 20:32:38,2019-07-04 18:53:45.743336,1574,46
Android,flavienlaurent/singleinputform,2014-05-06 18:23:18,2019-07-04 18:53:45.743336,1885,11
Android,cping/LGame,2012-11-19 10:05:18,2019-07-04 18:53:45.743336,2418,756
Android,ww6015132/SilkySignature,2016-11-28 16:55:07,2019-07-04 18:53:45.743336,948,23
Android,iDevicesInc/SweetBlue,2014-11-07 12:56:51,2019-07-04 18:53:45.743336,1700,1755
Android,vikramkakkar/ImageTransition,2016-10-11 11:38:45,2019-07-04 18:53:45.743336,996,14
Android,mikepenz/ItemAnimators,2016-01-09 18:50:43,2019-07-04 18:53:45.743336,1272,86
Android,andraskindler/quickscroll,2014-01-14 01:54:06,2019-07-04 18:53:45.743336,1997,13
Android,ganyao114/SandHook,2019-01-13 02:31:39,2019-07-04 18:53:45.743336,172,423
Android,MindorksOpenSource/AndroidTensorFlowMNISTExample,2017-03-16 20:54:51,2019-07-04 18:53:45.743336,839,29
Android,hitherejoe/AndroidTvBoilerplate,2016-02-13 15:15:38,2019-07-04 18:53:45.743336,1237,16
Android,z56402344/AnimTextView,2015-12-14 16:44:56,2019-07-04 18:53:45.743336,1298,10
Android,codekidX/storage-chooser,2016-11-19 15:45:13,2019-07-04 18:53:45.743336,957,258
Android,lukaspili/Reactive-Billing,2016-05-06 18:28:02,2019-07-04 18:53:45.743336,1154,43
Android,jiang111/ProgressView,2016-02-24 20:38:26,2019-07-04 18:53:45.743336,1225,22
Android,TakuSemba/MultiSnapRecyclerView,2017-08-02 00:39:14,2019-07-04 18:53:45.743336,701,99
Android,Slyce-Inc/SlyceMessaging,2016-07-11 18:16:47,2019-07-04 18:53:45.743336,1088,121
Android,mkch/android-wifi-connecter,2010-05-29 10:06:00,2019-07-04 18:53:45.743336,3323,33
Android,xiongwei-git/GankApp,2015-08-23 12:35:01,2019-07-04 18:53:45.743336,1411,27
Android,androidthings/sample-tensorflow-imageclassifier,2017-01-26 11:47:03,2019-07-04 18:53:45.743336,889,53
Android,mdg-iitr/RotatingText,2017-05-01 22:42:40,2019-07-04 18:53:45.743336,793,63
Android,dimorinny/show-case-card-view,2017-06-12 01:37:27,2019-07-04 18:53:45.743336,752,52
Android,litesuits/android-lite-go,2016-03-24 21:26:25,2019-07-04 18:53:45.743336,1196,6
Android,medyo/android-about-page,2016-04-21 00:26:31,2019-07-04 18:53:45.743336,1169,260
Android,nicolasjafelle/PagingListView,2013-08-25 20:21:38,2019-07-04 18:53:45.743336,2138,45
Android,shangmingchao/PopupList,2016-03-16 23:16:02,2019-07-04 18:53:45.743336,1204,43
Android,jpardogo/FlabbyListView,2014-03-22 11:48:01,2019-07-04 18:53:45.743336,1930,42
Android,ankushsachdeva/emojicon,2014-09-02 02:51:57,2019-07-04 18:53:45.743336,1766,11
Android,yangchong211/YCShopDetailLayout,2018-07-23 11:57:50,2019-07-04 18:53:45.743336,346,19
Android,arturogutierrez/Badges,2014-07-29 14:54:22,2019-07-04 18:53:45.743336,1801,30
Android,hnvn/flutter_image_cropper,2018-06-27 16:24:12,2019-07-04 18:53:45.743336,372,31
Android,SpikeKing/wcl-permission-demo,2016-01-26 09:52:14,2019-07-04 18:53:45.743336,1255,13
Android,secure-software-engineering/FlowDroid,2018-01-09 11:52:57,2019-07-04 18:53:45.743336,541,250
Android,jacobrosenthal/react-native-ble,2015-07-20 17:23:06,2019-07-04 18:53:45.743336,1445,124
Android,guozhengXia/OkHttpUtils,2017-04-21 12:11:30,2019-07-04 18:53:45.743336,804,10
Android,yanzhenjie/NoHttp,2015-07-29 14:11:12,2019-07-04 18:53:45.743336,1436,209
Android,eowise/recyclerview-stickyheaders,2014-09-18 14:42:49,2019-07-04 18:53:45.743336,1750,92
Android,dsandler/markers,2010-12-27 21:57:41,2019-07-04 18:53:45.743336,3110,220
Android,getsentry/sentry-java,2012-02-06 10:47:41,2019-07-04 18:53:45.743336,2705,2126
Android,cachapa/ExpandableLayout,2016-05-07 20:32:57,2019-07-04 18:53:45.743336,1152,87
Android,koral--/android-gif-drawable,2013-01-29 17:37:46,2019-07-04 18:53:45.743336,2347,1040
Android,easymock/easymock,2009-04-29 21:25:37,2019-07-04 18:53:45.743336,3717,941
Android,fornana/swipeitemlayout,2017-02-18 00:12:52,2019-07-04 18:53:45.743336,866,18
Android,fossasia/open-event-orga-app,2016-08-13 10:08:40,2019-07-04 18:53:45.743336,1055,868
Android,vector-im/riot-android,2015-06-02 09:07:40,2019-07-04 18:53:45.743336,1493,7316
Android,dlazaro66/QRCodeReaderView,2013-07-15 08:18:12,2019-07-04 18:53:45.743336,2180,142
Android,iamMehedi/Secured-Preference-Store,2016-08-21 15:27:07,2019-07-04 18:53:45.743336,1047,79
Android,slymax/webview,2018-07-10 21:05:52,2019-07-04 18:53:45.743336,358,14
Android,WellingtonCosta/convalida,2017-06-06 00:10:59,2019-07-04 18:53:45.743336,758,271
Android,chariotsolutions/phonegap-nfc,2011-06-16 14:01:20,2019-07-04 18:53:45.743336,2940,510
Android,xiangtailiang/FakeGPS,2016-07-23 09:23:55,2019-07-04 18:53:45.743336,1076,28
Android,Cleveroad/FireworkyPullToRefresh,2016-08-31 12:16:23,2019-07-04 18:53:45.743336,1037,83
Android,razerdp/FriendCircle,2016-02-09 23:51:52,2019-07-04 18:53:45.743336,1240,424
Android,aliumujib/Nibo,2017-09-07 08:55:06,2019-07-04 18:53:45.743336,665,79
Android,traex/RippleEffect,2014-10-08 22:42:48,2019-07-04 18:53:45.743336,1729,110
Android,tianzhijiexian/DBinding,2015-12-27 16:09:59,2019-07-04 18:53:45.743336,1285,29
Android,gzsll/WebViewJavascriptBridge,2016-03-02 11:42:10,2019-07-04 18:53:45.743336,1219,12
Android,amilcar-sr/JustifiedTextView,2014-07-12 23:04:37,2019-07-04 18:53:45.743336,1817,87
Android,dingjibang/GDX-RPG,2014-11-23 14:54:45,2019-07-04 18:53:45.743336,1684,1008
Android,ihsanbal/Wiv,2017-05-31 16:25:02,2019-07-04 18:53:45.743336,764,11
Android,florent37/ExpectAnim,2017-02-20 16:05:04,2019-07-04 18:53:45.743336,864,65
Android,motianhuo/VCameraDemo,2015-07-13 17:09:21,2019-07-04 18:53:45.743336,1452,17
Android,prcaen/external-resources,2015-08-31 22:50:44,2019-07-04 18:53:45.743336,1402,39
Android,lichao315/Calendar,2014-08-19 15:41:40,2019-07-04 18:53:45.743336,1780,10
Android,Catrobat/Catroid,2010-07-06 15:08:07,2019-07-04 18:53:45.743336,3285,11370
Android,ksvc/KSYLive_Android,2016-08-12 18:38:12,2019-07-04 18:53:45.743336,1056,155
Android,makovkastar/FloatingActionButton,2014-07-22 16:29:12,2019-07-04 18:53:45.743336,1808,321
Android,ValuesFeng/AndroidPicturePicker,2015-12-31 10:38:11,2019-07-04 18:53:45.743336,1281,47
Android,MichaelEvans/Aftermath,2015-07-16 22:43:05,2019-07-04 18:53:45.743336,1448,34
Android,vlonjatg/progress-activity,2015-08-21 13:07:26,2019-07-04 18:53:45.743336,1413,43
Android,ragdroid/Dahaka,2017-08-15 01:43:25,2019-07-04 18:53:45.743336,688,19
Android,maxiee/HeartBeat,2015-06-11 09:48:37,2019-07-04 18:53:45.743336,1484,650
Android,openid/AppAuth-Android,2016-02-25 14:58:18,2019-07-04 18:53:45.743336,1225,252
Android,benniaobuguai/android-dynamic-action,2016-05-16 22:16:15,2019-07-04 18:53:45.743336,1143,13
Android,k0shk0sh/PermissionHelper,2015-11-14 15:42:16,2019-07-04 18:53:45.743336,1328,107
Android,grantland/android-autofittextview,2011-02-13 21:59:20,2019-07-04 18:53:45.743336,3062,61
Android,linglongxin24/WelcomeVideoPager,2016-11-10 11:45:38,2019-07-04 18:53:45.743336,966,5
Android,ManuelPeinado/ImageLayout,2013-03-29 01:20:24,2019-07-04 18:53:45.743336,2288,48
Android,colintheshots/AnDevCon-RxPatterns,2015-07-26 12:09:38,2019-07-04 18:53:45.743336,1439,16
Android,HomHomLin/SlidingLayout,2016-04-12 13:28:12,2019-07-04 18:53:45.743336,1178,39
Android,ryanlijianchang/Recyclerview-Gallery,2017-12-11 17:40:58,2019-07-04 18:53:45.743336,570,104
Android,tekinarslan/AndroidMaterialDesignToolbar,2014-11-03 15:21:49,2019-07-04 18:53:45.743336,1704,30
Android,nanchen2251/CoordinatorAppBarDemo,2016-12-13 17:11:30,2019-07-04 18:53:45.743336,933,8
Android,Devlight/TintLayout,2016-03-23 23:32:30,2019-07-04 18:53:45.743336,1197,13
Android,glt/ScreenRecorder,2016-06-14 11:40:24,2019-07-04 18:53:45.743336,1115,3
Android,lessthanoptimal/BoofCV,2011-04-19 10:52:15,2019-07-04 18:53:45.743336,2998,3432
Android,wongzy/BetterWay,2017-10-03 10:49:10,2019-07-04 18:53:45.743336,639,38
Android,kiwi-bop/flutter_crashlytics,2018-08-21 09:31:32,2019-07-04 18:53:45.743336,317,76
Android,skydoves/PowerMenu,2017-10-29 18:08:28,2019-07-04 18:53:45.743336,613,161
Android,android-hacker/VirtualXposed,2016-07-06 21:25:23,2019-07-04 18:53:45.743336,1092,1129
Android,LaiFeng-Android/SopCastComponent,2016-12-06 14:44:28,2019-07-04 18:53:45.743336,940,33
Android,aporter/coursera-android,2014-01-05 01:55:31,2019-07-04 18:53:45.743336,2006,73
Android,shardul/Android,2012-08-29 23:45:10,2019-07-04 18:53:45.743336,2499,10
Android,WrBug/DeveloperHelper,2018-12-01 17:30:13,2019-07-04 18:53:45.743336,215,86
Android,limpoxe/Android-ServiceManager,2016-06-04 02:53:53,2019-07-04 18:53:45.743336,1125,25
Android,wrapp-archive/floatlabelededittext,2013-11-05 14:55:19,2019-07-04 18:53:45.743336,2067,34
Android,emotionsense/SensorManager,2012-09-24 12:55:59,2019-07-04 18:53:45.743336,2474,309
Android,zaihuishou/ExpandableRecyclerview,2016-07-11 10:05:40,2019-07-04 18:53:45.743336,1088,52
Android,jiangzehui/MD,2016-11-05 17:40:48,2019-07-04 18:53:45.743336,971,39
Android,linsea/UniversalVideoView,2015-09-15 15:08:57,2019-07-04 18:53:45.743336,1388,19
Spring,shzlw/poli,2018-11-26 22:56:45,2019-07-04 18:53:45.743336,219,145
Spring,wyh-spring-ecosystem-student/spring-boot-student,2017-05-24 16:38:38,2019-07-04 18:53:45.743336,771,395
Spring,Activiti/Activiti,2010-06-18 12:33:58,2019-07-04 18:53:45.743336,3303,7791
Spring,spring-projects/spring-security-oauth,2010-07-08 23:28:19,2019-07-04 18:53:45.743336,3282,1280
Spring,cheese10yun/spring-guide,2019-02-10 04:45:04,2019-07-04 18:53:45.743336,144,122
Spring,dearbinge/dubbo-spring-boot-mybatis-redis,2016-04-05 17:22:35,2019-07-04 18:53:45.743336,1185,6
Spring,abel533/Mapper,2014-11-20 10:44:09,2019-07-04 18:53:45.743336,1687,698
Spring,spring-guides/gs-uploading-files,2013-04-23 14:11:14,2019-07-04 18:53:45.743336,2263,212
Spring,liaokailin/springcloud,2016-04-28 20:28:59,2019-07-04 18:53:45.743336,1161,23
Spring,ordina-jworks/microservices-dashboard,2018-11-14 15:32:30,2019-07-04 18:53:45.743336,232,74
Spring,tonyboxes/netty-chat,2015-02-19 00:36:54,2019-07-04 18:53:45.743336,1596,52
Spring,DSpace/DSpace,2002-05-03 20:19:46,2019-07-04 18:53:45.743336,6270,10788
Spring,JThink/SkyEye,2017-02-27 14:58:00,2019-07-04 18:53:45.743336,857,202
Spring,OysterQAQ/Pixiv-Illustration-Collection,2018-10-06 15:54:40,2019-07-04 18:53:45.743336,271,50
Spring,cwenao/springboot_cwenao,2017-01-29 19:41:01,2019-07-04 18:53:45.743336,885,25
Spring,binarywang/weixin-java-miniapp-demo,2017-06-15 00:46:46,2019-07-04 18:53:45.743336,749,42
Spring,mattia-battiston/clean-architecture-example,2016-03-10 15:34:36,2019-07-04 18:53:45.743336,1211,125
Spring,ngbdf/redis-manager,2018-05-18 14:43:10,2019-07-04 18:53:45.743336,412,271
Spring,jhipster/jhipster,2016-12-12 17:29:24,2019-07-04 18:53:45.743336,934,1169
Spring,nonocast/todolist,2016-06-23 18:51:10,2019-07-04 18:53:45.743336,1106,127
Spring,pkainulainen/gradle-examples,2014-05-30 20:50:10,2019-07-04 18:53:45.743336,1860,34
Spring,spring-projects/spring-xd,2013-04-10 08:31:45,2019-07-04 18:53:45.743336,2276,2768
Spring,nosqlcoco/springboot-weapp-demo,2016-10-15 12:25:55,2019-07-04 18:53:45.743336,992,31
Spring,aws-samples/amazon-ecs-java-microservices,2017-06-08 14:08:36,2019-07-04 18:53:45.743336,756,58
Spring,adobe/S3Mock,2017-07-20 09:22:47,2019-07-04 18:53:45.743336,714,209
Spring,tim232385/WebVideoBot,2018-10-30 01:33:11,2019-07-04 18:53:45.743336,247,92
Spring,jhipster/jhipster-registry,2016-02-05 16:19:37,2019-07-04 18:53:45.743336,1245,864
Spring,ysrc/Liudao,2016-08-06 19:25:26,2019-07-04 18:53:45.743336,1061,12
Spring,apache/dubbo-admin,2018-01-11 13:30:18,2019-07-04 18:53:45.743336,539,47
Spring,souyunku/SpringBootExamples,2017-10-30 10:44:43,2019-07-04 18:53:45.743336,612,86
Spring,opentracing-contrib/java-spring-cloud,2017-07-11 16:56:50,2019-07-04 18:53:45.743336,723,185
Spring,shmilyah/spring-cloud-components,2018-05-27 00:51:24,2019-07-04 18:53:45.743336,403,58
Spring,sofastack/sofa-registry,2019-03-24 15:02:11,2019-07-04 18:53:45.743336,102,9
Spring,feuyeux/jax-rs2-guide,2014-03-15 00:43:21,2019-07-04 18:53:45.743336,1937,19
Spring,eclipse/hono,2016-02-08 10:45:28,2019-07-04 18:53:45.743336,1242,3132
Spring,alibaba/nacos,2018-07-21 00:27:23,2019-07-04 18:53:45.743336,348,1462
Spring,yu199195/myth,2017-12-01 14:30:08,2019-07-04 18:53:45.743336,580,96
Spring,cloudfoundry/java-buildpack-auto-reconfiguration,2011-04-11 20:17:39,2019-07-04 18:53:45.743336,3005,318
Spring,naturalprogrammer/spring-lemon,2015-04-22 10:42:27,2019-07-04 18:53:45.743336,1534,499
Spring,xuwujing/springBoot-study,2018-01-10 19:20:15,2019-07-04 18:53:45.743336,539,108
Spring,spring-cloud/spring-cloud-sleuth,2015-03-06 15:51:47,2019-07-04 18:53:45.743336,1581,2224
Spring,Coding/WebIDE-Backend,2016-09-13 14:06:53,2019-07-04 18:53:45.743336,1024,62
Spring,zhengyunfei/springboot-hadmin,2017-04-07 15:48:43,2019-07-04 18:53:45.743336,818,29
Spring,sofastack/sofa-tracer,2018-05-16 00:23:57,2019-07-04 18:53:45.743336,414,178
Spring,anilallewar/microservices-basics-spring-boot,2017-04-24 17:02:42,2019-07-04 18:53:45.743336,801,34
Spring,sanshengshui/netty-learning-example,2018-09-18 13:46:33,2019-07-04 18:53:45.743336,289,201
Spring,1ssqq1lxr/iot_push,2017-12-15 14:34:46,2019-07-04 18:53:45.743336,566,181
Spring,didi/tinyid,2018-09-26 21:05:08,2019-07-04 18:53:45.743336,280,16
Spring,Zoctan/spring-boot-vue-admin,2018-02-22 21:46:55,2019-07-04 18:53:45.743336,496,48
Spring,bitkylin/ClusterDeviceControlPlatform,2017-02-21 20:56:43,2019-07-04 18:53:45.743336,862,143
Spring,roncoo/spring-boot-demo,2016-08-22 10:54:02,2019-07-04 18:53:45.743336,1046,155
Spring,qiurunze123/miaosha,2018-09-14 12:34:02,2019-07-04 18:53:45.743336,293,205
Spring,system-sekkei/isolating-the-domain,2015-06-02 23:15:26,2019-07-04 18:53:45.743336,1492,789
Spring,joshlong/boot-examples,2013-12-16 02:39:28,2019-07-04 18:53:45.743336,2026,52
Spring,rubenlagus/TelegramBots,2016-01-14 01:14:53,2019-07-04 18:53:45.743336,1267,642
Spring,whyalwaysmea/Spring-Security,2018-03-18 15:43:11,2019-07-04 18:53:45.743336,473,22
Spring,dangdangdotcom/config-toolkit,2014-10-21 17:29:23,2019-07-04 18:53:45.743336,1717,238
