framework,repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects
Android,CodingBingo/FastReader,72,7961,234,21,5,63,2,2019-06-21T11:36:52Z,0
Android,secure-software-engineering/FlowDroid,80,12577,196,22,130,250,40,2019-06-24T17:38:11Z,0
Android,Catrobat/Catroid,346,126626,202,142,0,11282,2823,2019-06-25T21:33:07Z,0
Android,cping/LGame,146,895983,368,73,25,750,3,2019-06-26T01:33:08Z,0
Android,vestrel00/android-dagger-butterknife-mvp,48,308,214,20,42,109,50,2019-06-15T10:18:08Z,0
Android,ISchwarz23/SortableTableView,231,3282,948,42,174,293,9,2019-06-23T03:11:10Z,0
Android,jaychang0917/SimpleRecyclerView,106,163241,955,17,51,220,3,2019-06-24T11:49:32Z,0
Android,Clans/FloatingActionButton,1079,3389,4777,176,393,154,76,2019-06-26T02:18:12Z,0
Android,BaaSBeginner/leanchat-android,139,42801,181,37,37,699,34,2019-05-19T10:19:06Z,0
Android,weexteam/hackernews-App-powered-by-Apache-Weex,245,8958,1174,76,76,131,11,2019-06-25T05:42:59Z,1
Android,googlecodelabs/android-build-an-app-architecture-components,132,403,254,36,32,15,9,2019-06-10T19:25:39Z,0
Android,threerings/playn,68,75677,195,41,29,1898,55,2019-03-31T19:23:08Z,0
Android,qifengdeqingchen/PullToLoadMoreView,43,14176,147,8,6,5,0,2019-05-31T14:54:19Z,0
Android,raweng/android-different-loading-animations,78,812,206,12,0,13,1,2019-06-04T22:41:52Z,0
Android,akexorcist/Android-GoogleDirectionLibrary,156,1771,449,31,65,85,4,2019-06-19T00:50:26Z,0
Android,scottyab/AESCrypt-Android,161,67,556,28,22,13,4,2019-06-09T21:12:52Z,0
Android,haiwen/seadroid,221,9128,341,75,393,2280,429,2019-06-25T02:31:07Z,1
Android,athkalia/Just-Another-Android-App,191,2232,1663,52,9,19,91,2019-06-24T11:56:26Z,0
Android,devgeeks/Canvas2ImagePlugin,215,79,204,15,61,53,23,2019-06-24T00:28:24Z,0
Android,WrBug/DeveloperHelper,82,928,441,25,15,86,2,2019-06-25T08:00:22Z,0
Android,Jude95/RollViewPager,266,541,925,35,88,78,4,2019-06-19T06:44:40Z,0
Android,TellH/RecyclerTreeView,64,796,411,12,29,36,4,2019-06-21T04:26:11Z,0
Android,pocmo/Android-Network-Intents,57,560,419,32,3,32,1,2019-06-03T12:19:09Z,0
Android,Rabtman/AcgClub,116,11007,799,22,14,175,0,2019-06-22T06:00:18Z,0
Android,mixi-inc/Android-Device-Compatibility,30,1471,237,81,1,140,60,2019-06-05T12:03:30Z,0
Android,Raynor999/AlbumSelector,52,9306,231,6,12,32,1,2019-06-21T07:00:21Z,0
Android,Jungerr/GridPasswordView,418,2555,1610,50,22,19,4,2019-06-24T00:00:21Z,0
Android,naman14/PlayAnimations,80,4184,415,13,1,14,1,2019-06-24T11:48:10Z,0
Android,shichaohui/PageRecyelerViewDemo,56,31,216,7,6,4,1,2019-06-26T01:42:08Z,0
Android,devadvance/circularseekbar,126,55,431,23,32,41,7,2019-06-20T07:42:39Z,0
Android,vivian8725118/TimeLine,222,36303,1565,31,10,52,4,2019-06-25T07:49:37Z,0
Android,maxiee/HeartBeat,45,10187,222,13,12,650,1,2019-06-20T01:50:06Z,0
Android,elevenetc/BadgeView,87,1898,420,16,8,8,0,2019-06-04T22:44:42Z,0
Android,xfmax/BasePedo,148,7991,603,38,11,108,0,2019-05-30T08:48:53Z,0
Android,Devlight/ShadowLayout,106,205,426,18,16,23,4,2019-06-25T12:09:49Z,0
Android,serso/android-linear-layout-manager,94,142,417,12,0,35,10,2019-06-10T14:27:28Z,0
Android,shiburagi/Drawer-Behavior,51,15880,218,8,13,80,3,2019-06-25T11:43:59Z,0
Android,chenupt/DragTopLayout,324,8416,1339,56,42,135,9,2019-06-06T03:38:18Z,0
Spring,JeffLi1993/springcloud-learning-example,191,88,338,38,1,23,0,2019-06-24T07:38:10Z,0
Spring,odrotbohm/rest-microservices,109,882,177,14,10,33,5,2019-06-21T16:56:44Z,0
Spring,rohitghatol/spring-boot-microservices,798,5727,1465,229,13,66,11,2019-06-26T00:41:02Z,0
Spring,xuwujing/springBoot-study,254,503,407,37,9,108,2,2019-06-25T14:58:42Z,0
Spring,BriData/DBus,253,46176,495,65,26,271,1,2019-06-26T02:38:57Z,0
Spring,chaokunyang/microservices-event-sourcing,280,6465,570,100,16,70,0,2019-06-24T06:03:55Z,0
