framework,projeto,imports
Android,androidthings/sample-tensorflow-imageclassifier,4.44
Android,mdg-iitr/RotatingText,3.56
Android,dimorinny/show-case-card-view,1.62
Android,litesuits/android-lite-go,2.33
Android,medyo/android-about-page,7.50
Android,nicolasjafelle/PagingListView,3.33
Android,shangmingchao/PopupList,5.83
Android,jpardogo/FlabbyListView,6.00
Android,ankushsachdeva/emojicon,2.24
Android,yangchong211/YCShopDetailLayout,2.62
Android,arturogutierrez/Badges,1.27
Android,hnvn/flutter_image_cropper,3.75
Android,SpikeKing/wcl-permission-demo,3.80
Android,secure-software-engineering/FlowDroid,0.00
Android,jacobrosenthal/react-native-ble,4.00
Android,guozhengXia/OkHttpUtils,1.56
Android,yanzhenjie/NoHttp,0.52
Android,eowise/recyclerview-stickyheaders,1.57
Android,dsandler/markers,5.64
Android,getsentry/sentry-java,0.10
Android,cachapa/ExpandableLayout,3.22
Android,koral--/android-gif-drawable,1.14
Android,easymock/easymock,0.02
Android,fornana/swipeitemlayout,3.50
Android,fossasia/open-event-orga-app,0.17
Android,vector-im/riot-android,1.37
Android,dlazaro66/QRCodeReaderView,2.23
Android,iamMehedi/Secured-Preference-Store,2.82
Android,slymax/webview,4.00
Android,WellingtonCosta/convalida,0.12
Android,chariotsolutions/phonegap-nfc,4.75
Android,xiangtailiang/FakeGPS,2.09
Android,Cleveroad/FireworkyPullToRefresh,2.18
Android,razerdp/FriendCircle,0.80
Android,aliumujib/Nibo,1.38
Android,traex/RippleEffect,5.00
Android,tianzhijiexian/DBinding,1.62
Android,gzsll/WebViewJavascriptBridge,1.50
Android,amilcar-sr/JustifiedTextView,2.60
Android,dingjibang/GDX-RPG,0.01
Android,ihsanbal/Wiv,5.00
Android,florent37/ExpectAnim,0.45
Android,motianhuo/VCameraDemo,1.81
Android,prcaen/external-resources,1.18
Android,lichao315/Calendar,5.50
Android,Catrobat/Catroid,0.22
Android,ksvc/KSYLive_Android,0.80
Android,makovkastar/FloatingActionButton,5.10
Android,ValuesFeng/AndroidPicturePicker,2.11
Android,MichaelEvans/Aftermath,2.00
Android,vlonjatg/progress-activity,3.11
Android,ragdroid/Dahaka,0.59
Android,maxiee/HeartBeat,1.27
Android,openid/AppAuth-Android,0.74
Android,benniaobuguai/android-dynamic-action,1.16
Android,k0shk0sh/PermissionHelper,2.59
Android,grantland/android-autofittextview,5.50
Android,linglongxin24/WelcomeVideoPager,3.14
Android,ManuelPeinado/ImageLayout,2.56
Android,colintheshots/AnDevCon-RxPatterns,1.11
Android,HomHomLin/SlidingLayout,3.00
Android,ryanlijianchang/Recyclerview-Gallery,3.00
Android,tekinarslan/AndroidMaterialDesignToolbar,4.27
Android,nanchen2251/CoordinatorAppBarDemo,3.91
Android,Devlight/TintLayout,4.40
Android,glt/ScreenRecorder,8.33
Android,lessthanoptimal/BoofCV,0.02
Android,wongzy/BetterWay,1.19
Android,kiwi-bop/flutter_crashlytics,1.00
Android,skydoves/PowerMenu,1.38
Android,android-hacker/VirtualXposed,0.44
Android,LaiFeng-Android/SopCastComponent,0.76
Android,aporter/coursera-android,0.70
Android,shardul/Android,2.87
Android,WrBug/DeveloperHelper,0.30
Android,limpoxe/Android-ServiceManager,1.14
Android,wrapp-archive/floatlabelededittext,7.00
Android,emotionsense/SensorManager,0.36
Android,zaihuishou/ExpandableRecyclerview,1.77
Android,jiangzehui/MD,2.10
Android,linsea/UniversalVideoView,5.83
