framework,project,java,properties,jar,build.gradle,pom.xml,manifest.xml,xml,bat,md,adoc,README,yaml,txt,sh,travis.yml,yml,cmd,kt,json,others,numberOfFiles
Android,scottyab/showhidepasswordedittext,6,2,1,3,0,2,13,1,2,0,0,0,0,0,0,0,0,0,0,24,52
Android,HiddenStage/divide,195,1,2,0,17,3,31,1,3,0,1,0,2,1,0,0,0,0,0,7,243
Android,qinci/MarkdownEditors,66,2,3,2,0,1,51,1,2,0,1,0,0,0,0,0,0,0,0,109,236
Android,trikita/talalarmo,15,1,1,1,0,1,9,1,1,0,1,0,0,0,1,1,0,0,0,13,43
Android,ushahidi/Ushahidi_Android,275,30,5,2,1,12,344,0,4,0,2,0,6,1,0,0,0,0,0,570,1237
Android,nicolasjafelle/PagingGridView,8,3,1,3,0,2,10,1,1,0,1,0,2,0,0,0,0,0,0,9,38
Android,wusp/IndicatorBox,40,2,1,3,0,2,40,1,1,0,1,0,0,0,0,0,0,0,0,26,114
Android,athkalia/Just-Another-Android-App,133,4,1,4,1,2,84,1,2,0,1,1,0,0,0,0,0,4,2,54,290
Android,darsh2/MultipleImageSelect,12,2,1,3,0,2,24,1,1,0,1,0,1,0,0,0,0,0,0,32,77
Android,52inc/Scoops,48,5,1,5,0,2,20,1,1,0,1,0,0,0,1,1,0,0,0,15,97
Android,hudomju/android-swipe-to-dismiss-undo,9,2,1,3,0,2,10,1,2,0,1,0,0,0,0,0,0,0,0,9,37
Android,JeroenMols/LandscapeVideoCamera,32,1,1,3,0,2,26,1,1,0,1,0,0,1,1,1,0,0,0,64,131
Android,jshvarts/DaggerAndroidMVVM,16,2,1,2,0,1,5,1,1,0,1,0,0,0,1,1,0,0,0,12,41
Android,nekocode/DividerDrawable,4,2,1,3,0,2,6,1,1,0,1,0,0,0,0,0,0,0,0,14,32
Android,nrohmen/Clean-Android-Code,16,2,1,2,0,1,17,1,1,0,1,0,0,0,0,0,0,0,0,7,47
Android,yingLanNull/ScrollLayout,15,0,0,3,0,2,14,0,1,0,1,0,0,0,0,0,0,0,0,13,46
Android,anton46/WhatsApp-ProfileCollapsingToolbar,6,2,1,2,0,1,18,1,1,0,1,0,0,0,0,0,0,0,0,9,40
Android,liuyanggithub/SuperMvp,66,2,1,2,0,1,26,1,1,0,1,0,0,0,0,0,0,0,0,38,137
Android,pestrada/android-tdd-playground,4,2,1,2,0,1,15,1,1,0,1,0,0,0,1,1,0,0,0,8,35
Android,Yalantis/StarWars.Android,35,3,1,3,0,2,22,1,1,0,1,0,0,0,0,0,0,0,0,32,98
Android,SaeedMasoumi/FAB-Loading,3,2,1,3,0,2,10,1,1,0,1,0,0,0,0,0,0,0,0,17,38
Android,aosp-mirror/platform_packages_apps_contacts,436,0,0,0,0,2,308,0,0,0,0,0,1,1,0,0,0,0,0,108,854
Android,couchbaselabs/TouchDB-Android,74,9,12,0,0,5,20,0,1,0,1,0,7,0,0,0,0,0,1,57,181
Android,android-notes/auto-scroll-capture,7,2,1,2,0,1,19,1,1,0,1,0,0,0,0,0,0,0,0,20,53
Android,google/ExoPlayer,880,2,1,26,0,44,271,1,28,0,26,0,9,2,0,0,0,0,1,301,1522
Android,songixan/SmileRefresh,6,1,0,3,0,2,14,1,1,0,1,0,0,0,0,0,0,0,0,9,35
Android,xiongwei-git/GankApp,28,2,1,2,0,1,31,1,1,0,1,0,0,0,0,0,0,0,0,57,123
Android,wala/WALA,1964,80,1,33,39,0,70,1,2,0,1,0,23,5,1,1,0,0,4,426,2610
Android,ZieIony/RandomData,50,2,1,7,0,5,12,1,1,0,1,0,0,0,0,0,0,0,0,39,113
Android,BCsl/CursorWheelLayout,12,2,1,3,0,2,22,1,1,0,1,0,2,0,0,0,0,0,0,23,67
Android,MindorksOpenSource/CrashReporter,22,2,1,3,0,2,20,1,1,0,1,0,0,0,0,0,0,0,0,12,62
Android,novoda/sqlite-provider,94,1,1,4,0,5,36,1,1,0,1,0,3,0,0,0,0,0,0,20,161
Android,xiewenfeng/statusbartextcolorchange,15,2,1,2,0,1,28,1,1,0,1,0,0,0,0,0,0,0,0,30,80
