framework,nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
Spring,microservices-dashboard,408,136,254,18,16,272,105,10,1,1,0,0,30,6,0,0,44,16,0,0,20,21,41,0,0,2,2,4,3,0,12,2,1,1,0,0,0,0,21
Spring,netty-chat,646,244,212,190,17,405,199,20,0,0,0,0,30,12,0,0,90,43,0,0,22,0,22,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,105
Spring,DSpace,51134,5981,40508,4645,80,30738,4613,673,177,86,0,0,5531,106,0,0,7426,383,19,4,60,0,60,0,0,250,122,8,4,26,2,1,0,0,0,0,18,7,11763
Spring,SkyEye,1645,748,802,95,28,534,278,59,0,0,415,43,9,2,0,0,68,23,0,0,102,0,102,0,0,21,9,54,39,0,3,1,0,0,0,0,0,0,389
Spring,Pixiv-Illustration-Collection,283,122,75,86,10,225,83,4,1,1,0,0,4,1,0,0,16,6,0,0,23,0,23,0,0,1,1,0,0,0,5,1,1,1,0,0,0,0,7
Spring,springboot_cwenao,170,142,27,1,11,57,55,3,1,1,15,12,0,0,0,0,18,18,1,1,12,0,12,0,0,2,1,0,0,0,46,38,0,0,0,0,0,0,15
Spring,weixin-java-miniapp-demo,85,23,59,3,12,31,16,0,0,0,0,0,21,1,0,0,21,1,0,0,13,0,13,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,18
Spring,clean-architecture-example,468,130,302,36,11,343,129,3,1,1,63,8,0,0,0,0,1,1,1,1,33,0,33,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,21
Spring,redis-manager,1504,767,714,23,27,403,113,9,0,0,0,0,9,1,0,0,29,10,0,0,61,0,61,0,0,2,2,20,9,1,29,1,0,0,0,0,15,15,936
Spring,jhipster,1986,174,1686,126,13,1118,280,7,4,2,0,0,709,9,0,0,711,10,0,0,16,0,16,0,0,8,4,45,21,37,6,1,4,2,0,0,5,2,62
Spring,todolist,1295,370,658,267,27,279,61,96,0,0,21,1,0,0,0,0,395,196,1,1,15,0,15,0,0,85,3,3,3,0,0,0,0,0,0,0,36,15,364
Spring,gradle-examples,86,62,24,0,7,26,26,7,0,0,18,10,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Spring,spring-xd,16720,3577,11813,1330,64,10424,2391,650,29,16,603,1,0,0,0,0,1384,374,152,11,84,3,87,1,1,35,24,26,25,9,304,29,0,0,0,0,63,18,2962
Spring,springboot-weapp-demo,142,47,92,3,4,103,42,17,0,0,0,0,7,1,0,0,7,1,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring,amazon-ecs-java-microservices,1013,665,49,299,26,177,177,70,36,18,0,0,11,11,0,0,12,12,0,0,43,0,43,15,8,46,34,11,11,12,29,17,11,11,0,0,15,10,548
Spring,S3Mock,949,100,845,4,9,385,106,5,0,0,0,0,486,8,0,0,496,13,0,0,17,0,17,0,0,9,7,4,3,2,0,0,0,0,0,0,0,0,33
Spring,WebVideoBot,162,38,115,9,10,56,27,12,8,2,0,0,8,1,0,0,11,2,0,0,54,0,54,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,19
Spring,jhipster-registry,5462,1533,1964,1965,50,416,115,8,2,1,0,0,161,1,0,0,179,4,0,0,111,0,111,3,1,21,8,1,1,13,170,19,2,1,0,0,329,73,4220
Spring,Liudao,53,38,14,1,8,26,25,1,0,0,0,0,2,1,0,0,3,2,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Spring,dubbo-admin,715,467,146,102,17,243,186,32,0,0,0,0,29,4,0,0,118,49,4,3,9,0,9,0,0,0,0,11,11,8,0,0,2,1,0,0,0,0,296
Spring,SpringBootExamples,357,235,102,20,22,159,115,29,2,1,0,0,36,18,0,0,50,27,0,0,21,0,21,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,92
Spring,java-spring-cloud,1254,221,958,75,13,496,187,1,1,1,0,0,613,23,0,0,617,25,0,0,46,0,46,0,0,2,1,3,2,13,6,3,1,1,0,0,23,12,58
Spring,spring-cloud-components,555,247,115,193,9,39,25,4,0,0,0,0,58,16,0,0,403,184,0,0,14,0,14,36,16,0,0,0,0,0,20,6,0,0,0,0,0,0,39
Spring,sofa-registry,791,676,115,0,10,618,583,11,0,0,0,0,107,30,0,0,125,47,8,8,5,0,5,0,0,4,4,10,10,1,1,1,0,0,0,0,0,0,9
Spring,jax-rs2-guide,486,364,119,3,25,195,163,3,0,0,0,0,79,23,0,0,111,55,3,3,48,0,48,0,0,10,7,13,10,0,0,0,0,0,0,0,0,0,103
Spring,hono,15213,1970,12430,813,47,7746,1017,91,2,1,0,0,2315,41,0,0,2568,124,3,1,1414,0,1414,377,141,375,193,360,89,28,826,186,0,0,0,0,270,87,1181
Spring,nacos,7369,1413,5407,549,43,3625,632,74,11,4,0,0,669,12,0,0,733,27,1,1,92,0,92,0,0,19,6,46,16,8,0,0,22,2,0,0,40,11,2706
Spring,myth,1558,527,906,125,23,933,443,3,0,0,0,0,317,43,0,0,443,79,0,0,25,0,25,0,0,0,0,0,0,1,74,16,0,0,0,0,4,2,76
Spring,java-buildpack-auto-reconfiguration,1755,432,949,374,27,770,242,33,13,4,0,0,308,20,0,0,580,143,0,0,25,0,25,0,0,0,0,24,8,14,24,4,5,1,0,0,41,14,240
Spring,spring-lemon,2454,422,1897,135,22,2047,417,22,0,0,0,0,156,13,0,0,161,17,0,0,86,0,86,0,0,1,1,0,0,1,9,5,0,0,0,0,15,13,113
Spring,springBoot-study,1182,725,303,154,23,619,405,97,1,1,0,0,71,35,0,0,254,195,4,3,34,0,34,0,0,4,3,2,2,0,9,6,0,0,0,0,0,0,158
Spring,spring-cloud-sleuth,12779,1053,11294,432,28,7888,855,25,4,2,0,0,3661,29,0,0,3793,57,0,0,25,461,486,0,0,7,2,60,18,27,155,29,9,2,0,0,13,2,339
Spring,WebIDE-Backend,300,177,121,2,14,235,145,10,8,8,0,0,6,1,0,0,10,4,0,0,8,0,8,0,0,2,2,0,0,13,1,1,0,0,0,0,0,0,26
Spring,springboot-hadmin,714,587,117,10,27,144,90,4,0,0,0,0,6,1,0,0,8,3,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,541
Spring,sofa-tracer,1754,534,1216,4,12,906,438,44,0,0,0,0,690,32,0,0,702,42,0,0,78,0,78,0,0,0,0,1,1,7,3,2,0,0,0,0,0,0,20
Spring,microservices-basics-spring-boot,407,214,181,12,21,94,52,9,9,9,58,9,0,0,0,0,0,0,9,9,24,0,24,0,0,0,0,24,22,0,38,22,0,0,0,0,0,0,142
Spring,netty-learning-example,657,278,303,76,14,426,219,6,0,0,0,0,69,15,0,0,73,17,0,0,70,0,70,0,0,2,2,0,0,1,20,7,0,0,0,0,0,0,60
Spring,iot_push,728,148,543,37,7,623,154,0,0,0,0,0,19,7,0,0,20,8,0,0,11,0,11,0,0,0,0,0,0,0,34,4,0,0,0,0,0,0,40
Spring,tinyid,83,58,25,0,9,43,38,5,0,0,0,0,8,4,0,0,14,7,0,0,8,0,8,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,10
Spring,spring-boot-vue-admin,674,236,371,67,27,257,72,19,0,0,0,0,3,1,0,0,33,13,0,0,34,0,34,0,0,2,1,2,2,0,0,0,0,0,0,0,10,5,317
Spring,ClusterDeviceControlPlatform,1709,639,951,119,27,1341,514,27,7,4,40,5,35,5,0,0,64,19,10,6,13,0,13,0,0,0,0,5,2,1,14,2,1,1,0,0,2,2,185
Spring,spring-boot-demo,1525,1130,93,302,19,694,580,209,2,1,0,0,80,51,0,0,152,109,0,0,107,0,107,10,6,0,0,0,0,0,0,0,6,3,0,0,5,3,340
Spring,miaosha,3016,1938,645,433,51,643,320,110,19,13,0,0,57,20,0,0,338,170,0,0,257,0,257,0,0,8,4,0,0,6,0,0,17,12,0,0,9,9,1615
Spring,isolating-the-domain,2898,316,2449,133,17,1944,388,33,3,1,56,3,0,0,0,0,126,12,4,1,27,0,27,0,0,0,0,0,0,0,9,1,0,0,0,0,7,3,689
Spring,boot-examples,200,68,107,25,11,102,35,3,0,0,0,0,48,7,0,0,50,8,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Spring,TelegramBots,2314,450,1758,106,16,1610,609,13,0,0,0,0,217,7,0,0,336,87,0,0,287,0,287,0,0,0,0,0,0,10,0,0,1,1,0,0,4,4,63
Spring,Spring-Security,175,89,80,6,7,136,75,11,0,0,0,0,8,5,0,0,8,5,0,0,6,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,12
Spring,config-toolkit,800,165,571,64,20,411,150,19,0,0,0,0,131,10,0,0,193,29,0,0,73,0,73,0,0,3,1,0,0,0,2,1,0,0,0,0,0,0,99
