framework,projeto,contribuidores_do_framework,contribuidores_do_sample,contribuidores_comum
Spring,joshlong/boot-examples,385,2,1
Spring,rubenlagus/TelegramBots,385,56,0
Spring,whyalwaysmea/Spring-Security,385,1,0
Spring,dangdangdotcom/config-toolkit,385,7,0
Android,exallium/RxRecyclerView,164,2,0
Android,torryharris/Skycons,164,5,0
Android,chentao0707/SettingView,164,2,0
Android,alt236/Bluetooth-LE-Library---Android,164,4,0
Android,yazhidev/Practice,164,0,0
Android,qkxyjren/LikeView,164,1,0
Android,toddway/ListOfThings,164,0,0
Android,hongyangAndroid/android-percent-support-extend,164,1,0
Android,jacek-marchwicki/JavaWebsocketClient,164,1,0
Android,codeka/wwmmo,164,2,0
Android,sphinx02/AppStarter,164,1,0
Android,sockeqwe/mosby,164,38,0
Android,D-clock/AndroidStudyCode,164,1,0
Android,milaptank/SpannableTextView,164,1,0
Android,senzhk/ADBKeyBoard,164,2,0
Android,brianwernick/ExoMedia,164,26,0
Android,seatgeek/android-PlacesAutocompleteTextView,164,5,0
Android,manmal/hn-android,164,14,0
Android,codesoup/android-cubic-bezier-interpolator,164,2,0
Android,anzaizai/EasyRefreshLayout,164,1,0
Android,jshvarts/OfflineSampleApp,164,2,0
Android,tokudu/AndroidPushNotificationsDemo,164,1,0
Android,ShawnLin013/NumberPicker,164,7,0
Android,florina-muntenescu/MVPvsMVVM,164,3,0
Android,NikoYuwono/ToolbarPanel,164,1,0
Android,tyczj/MapNavigator,164,1,0
Android,penglu20/Bigbang,164,2,0
Android,MiEcosystem/NewXmPluginSDK,164,12,0
Android,xxxyanchenxxx/QqDecrpt,164,1,0
Android,frostwire/frostwire,164,18,0
Android,gowong/material-sheet-fab,164,2,0
Android,kaelaela/OpenGraphView,164,1,0
Android,blazsolar/HorizontalPicker,164,2,0
Android,omkarmoghe/Pokemap,164,48,0
Android,nshmura/RecyclerTabLayout,164,4,0
Android,CoXier/LowPoly,164,0,0
Android,AppLozic/Applozic-Android-SDK,164,16,0
Android,maksim88/PasswordEditText,164,1,0
Android,HITGIF/TextFieldBoxes,164,7,0
Android,payatu/diva-android,164,0,0
Android,requery/sqlite-android,164,13,0
Android,uber/rave,164,8,0
Android,JakeWharton/SwipeToDismissNOA,164,3,0
Android,JorenSix/TarsosDSP,164,16,0
Android,tarek360/RichPath,164,3,0
Android,MOLO17/CustomizableCalendar,164,4,0
Android,quiqueqs/BabushkaText,164,1,0
Android,Beseting/PhotoBrowse,164,1,0
Android,markzhai/init,164,2,0
Android,47deg/appsly-android-rest,164,9,0
Android,LuckyJayce/GuideHelper,164,2,0
Android,consenlabs/token-core-android,164,2,0
Android,Xiaofei-it/Hermes,164,2,0
Android,orhanobut/bee,164,2,0
Android,omadahealth/CircularBarPager,164,5,0
Android,MartinRGB/GiftCard-Android,164,1,0
Android,tibi1712/FoldingNavigationDrawer-Android,164,1,0
Android,cattong/YiBo,164,0,0
Android,ksvc/KSYStreamer_Android,164,11,0
Android,ruboto/ruboto-irb,164,14,0
Android,aliyun/alicloud-android-demo,164,12,0
Android,sbakhtiarov/gif-movie-view,164,2,0
Android,google/android-classyshark,164,15,0
Android,pavlospt/RxFile,164,6,0
Android,ricknout/lens-launcher,164,5,0
Android,sdwfqin/AndroidQuick,164,1,0
Android,hitherejoe/Notifi,164,1,0
Android,andrebts/login-basics,164,3,0
Android,tvbarthel/ChaseWhisplyProject,164,5,0
Android,matthewrkula/AnimatedPathView,164,1,0
Android,yewei02538/HiPermission,164,3,0
Android,kaaes/spotify-web-api-android,164,10,0
Android,jaikydota/Android-ImagesPickers,164,1,0
Android,AndroidMsky/RandomTextView,164,1,0
Android,yaa110/Piclice,164,1,0
Android,AlexKorovyansky/android-fb-like-slideout-navigation,164,1,0
Android,linroid/FilterMenu,164,2,0
Android,flavienlaurent/singleinputform,164,1,0
Android,cping/LGame,164,2,0
Android,ww6015132/SilkySignature,164,1,0
Android,iDevicesInc/SweetBlue,164,7,0
Android,vikramkakkar/ImageTransition,164,1,0
Android,mikepenz/ItemAnimators,164,3,0
Android,andraskindler/quickscroll,164,3,0
Android,ganyao114/SandHook,164,2,0
Android,MindorksOpenSource/AndroidTensorFlowMNISTExample,164,3,0
Android,hitherejoe/AndroidTvBoilerplate,164,1,0
Android,z56402344/AnimTextView,164,1,0
Android,codekidX/storage-chooser,164,7,0
Android,lukaspili/Reactive-Billing,164,3,0
Android,jiang111/ProgressView,164,2,0
Android,TakuSemba/MultiSnapRecyclerView,164,2,0
Android,Slyce-Inc/SlyceMessaging,164,4,0
Android,mkch/android-wifi-connecter,164,1,0
Android,xiongwei-git/GankApp,164,2,0
Android,androidthings/sample-tensorflow-imageclassifier,164,8,0
Android,mdg-iitr/RotatingText,164,3,0
Android,dimorinny/show-case-card-view,164,3,0
Android,litesuits/android-lite-go,164,1,0
Android,medyo/android-about-page,164,31,0
Android,nicolasjafelle/PagingListView,164,5,0
Android,shangmingchao/PopupList,164,1,0
Android,jpardogo/FlabbyListView,164,2,0
Android,ankushsachdeva/emojicon,164,2,0
Android,yangchong211/YCShopDetailLayout,164,1,0
Android,arturogutierrez/Badges,164,3,0
Android,hnvn/flutter_image_cropper,164,4,0
Android,SpikeKing/wcl-permission-demo,164,1,0
Android,secure-software-engineering/FlowDroid,164,13,0
Android,jacobrosenthal/react-native-ble,164,9,0
Android,guozhengXia/OkHttpUtils,164,1,0
Android,yanzhenjie/NoHttp,164,1,0
Android,eowise/recyclerview-stickyheaders,164,5,0
Android,dsandler/markers,164,1,1
Android,getsentry/sentry-java,164,68,0
Android,cachapa/ExpandableLayout,164,5,0
Android,koral--/android-gif-drawable,164,17,0
Android,easymock/easymock,164,15,0
Android,fornana/swipeitemlayout,164,2,0
Android,vector-im/riot-android,164,204,0
Android,dlazaro66/QRCodeReaderView,164,13,0
Android,iamMehedi/Secured-Preference-Store,164,4,0
Android,slymax/webview,164,2,0
Android,WellingtonCosta/convalida,164,2,0
Android,chariotsolutions/phonegap-nfc,164,18,0
Android,xiangtailiang/FakeGPS,164,2,0
Android,Cleveroad/FireworkyPullToRefresh,164,2,0
Android,razerdp/FriendCircle,164,2,0
Android,aliumujib/Nibo,164,1,0
Android,traex/RippleEffect,164,7,0
Android,tianzhijiexian/DBinding,164,1,0
Android,gzsll/WebViewJavascriptBridge,164,1,0
Android,amilcar-sr/JustifiedTextView,164,2,0
Android,dingjibang/GDX-RPG,164,5,0
Android,ihsanbal/Wiv,164,1,0
Android,florent37/ExpectAnim,164,4,0
Android,motianhuo/VCameraDemo,164,1,0
Android,prcaen/external-resources,164,2,0
Android,lichao315/Calendar,164,1,0
Android,Catrobat/Catroid,164,151,0
Android,ksvc/KSYLive_Android,164,12,0
Android,makovkastar/FloatingActionButton,164,15,0
Android,ValuesFeng/AndroidPicturePicker,164,4,0
Android,MichaelEvans/Aftermath,164,3,0
Android,vlonjatg/progress-activity,164,2,0
Android,ragdroid/Dahaka,164,2,0
Android,maxiee/HeartBeat,164,1,0
Android,openid/AppAuth-Android,164,24,0
Android,benniaobuguai/android-dynamic-action,164,1,0
Android,k0shk0sh/PermissionHelper,164,7,0
Android,grantland/android-autofittextview,164,3,0
Android,linglongxin24/WelcomeVideoPager,164,1,0
Android,ManuelPeinado/ImageLayout,164,1,0
Android,colintheshots/AnDevCon-RxPatterns,164,1,0
Android,HomHomLin/SlidingLayout,164,1,0
Android,ryanlijianchang/Recyclerview-Gallery,164,2,0
Android,tekinarslan/AndroidMaterialDesignToolbar,164,3,0
Android,nanchen2251/CoordinatorAppBarDemo,164,1,0
Android,Devlight/TintLayout,164,2,0
Android,glt/ScreenRecorder,164,1,0
Android,lessthanoptimal/BoofCV,164,11,0
Android,wongzy/BetterWay,164,0,0
Android,kiwi-bop/flutter_crashlytics,164,9,0
Android,skydoves/PowerMenu,164,3,0
Android,android-hacker/VirtualXposed,164,34,0
Android,LaiFeng-Android/SopCastComponent,164,1,0
Android,aporter/coursera-android,164,5,0
Android,shardul/Android,164,1,0
Android,WrBug/DeveloperHelper,164,1,0
Android,limpoxe/Android-ServiceManager,164,1,0
Android,wrapp-archive/floatlabelededittext,164,4,0
Android,emotionsense/SensorManager,164,3,0
Android,zaihuishou/ExpandableRecyclerview,164,2,0
Android,jiangzehui/MD,164,1,0
Android,linsea/UniversalVideoView,164,1,0
Android,fossasia/open-event-orga-app,164,36,0
