framework,projeto,contribuidores_do_framework,contribuidores_do_projeto,contribuidores_comum
Android,z56402344/AnimTextView,3268,1,0
Android,codekidX/storage-chooser,3268,10,0
Android,lukaspili/Reactive-Billing,3268,3,0
Android,jiang111/ProgressView,3268,2,0
Android,TakuSemba/MultiSnapRecyclerView,3268,2,0
Android,Slyce-Inc/SlyceMessaging,3268,6,0
Android,mkch/android-wifi-connecter,3268,3,0
Android,xiongwei-git/GankApp,3268,2,0
Android,androidthings/sample-tensorflow-imageclassifier,3268,12,1
Android,mdg-iitr/RotatingText,3268,3,0
Android,dimorinny/show-case-card-view,3268,3,0
Android,litesuits/android-lite-go,3268,1,0
Android,medyo/android-about-page,3268,38,0
Android,nicolasjafelle/PagingListView,3268,7,0
Android,shangmingchao/PopupList,3268,1,0
Android,jpardogo/FlabbyListView,3268,2,0
Android,ankushsachdeva/emojicon,3268,2,0
Android,yangchong211/YCShopDetailLayout,3268,1,0
Android,arturogutierrez/Badges,3268,4,0
Android,hnvn/flutter_image_cropper,3268,4,0
Android,SpikeKing/wcl-permission-demo,3268,1,0
Android,secure-software-engineering/FlowDroid,3268,15,0
Android,jacobrosenthal/react-native-ble,3268,9,0
Android,guozhengXia/OkHttpUtils,3268,1,0
Android,yanzhenjie/NoHttp,3268,8,0
Android,eowise/recyclerview-stickyheaders,3268,6,0
Android,dsandler/markers,3268,6,1
Android,getsentry/sentry-java,3268,72,0
Android,cachapa/ExpandableLayout,3268,6,0
Android,koral--/android-gif-drawable,3268,20,0
Android,easymock/easymock,3268,20,0
Android,fornana/swipeitemlayout,3268,2,0
Android,vector-im/riot-android,3268,257,0
Android,dlazaro66/QRCodeReaderView,3268,13,0
Android,iamMehedi/Secured-Preference-Store,3268,7,0
Android,slymax/webview,3268,2,0
Android,WellingtonCosta/convalida,3268,2,0
Android,chariotsolutions/phonegap-nfc,3268,21,0
Android,xiangtailiang/FakeGPS,3268,2,0
Android,Cleveroad/FireworkyPullToRefresh,3268,3,0
Android,razerdp/FriendCircle,3268,2,0
Android,aliumujib/Nibo,3268,3,0
Android,traex/RippleEffect,3268,12,0
Android,tianzhijiexian/DBinding,3268,2,0
Android,gzsll/WebViewJavascriptBridge,3268,2,0
Android,amilcar-sr/JustifiedTextView,3268,5,0
Android,dingjibang/GDX-RPG,3268,9,0
Android,ihsanbal/Wiv,3268,2,0
Android,florent37/ExpectAnim,3268,6,0
Android,motianhuo/VCameraDemo,3268,1,0
Android,prcaen/external-resources,3268,2,0
Android,lichao315/Calendar,3268,1,0
Android,Catrobat/Catroid,3268,211,0
Android,ksvc/KSYLive_Android,3268,20,0
Android,makovkastar/FloatingActionButton,3268,16,0
Android,ValuesFeng/AndroidPicturePicker,3268,4,0
Android,MichaelEvans/Aftermath,3268,3,0
Android,vlonjatg/progress-activity,3268,3,0
Android,ragdroid/Dahaka,3268,2,0
Android,maxiee/HeartBeat,3268,1,0
Android,openid/AppAuth-Android,3268,27,0
Android,benniaobuguai/android-dynamic-action,3268,1,0
Android,k0shk0sh/PermissionHelper,3268,10,0
Android,grantland/android-autofittextview,3268,5,0
Android,linglongxin24/WelcomeVideoPager,3268,1,0
Android,ManuelPeinado/ImageLayout,3268,1,0
Android,colintheshots/AnDevCon-RxPatterns,3268,2,0
Android,HomHomLin/SlidingLayout,3268,1,0
Android,ryanlijianchang/Recyclerview-Gallery,3268,4,0
Android,tekinarslan/AndroidMaterialDesignToolbar,3268,4,0
Android,nanchen2251/CoordinatorAppBarDemo,3268,1,0
Android,Devlight/TintLayout,3268,2,0
Android,glt/ScreenRecorder,3268,1,0
Android,lessthanoptimal/BoofCV,3268,18,0
Android,wongzy/BetterWay,3268,1,0
Android,kiwi-bop/flutter_crashlytics,3268,11,0
Android,skydoves/PowerMenu,3268,4,0
Android,android-hacker/VirtualXposed,3268,51,0
Android,LaiFeng-Android/SopCastComponent,3268,2,0
Android,aporter/coursera-android,3268,6,0
Android,shardul/Android,3268,2,0
Android,WrBug/DeveloperHelper,3268,1,0
Android,limpoxe/Android-ServiceManager,3268,1,0
Android,wrapp-archive/floatlabelededittext,3268,5,0
Android,emotionsense/SensorManager,3268,19,0
Android,zaihuishou/ExpandableRecyclerview,3268,3,0
Android,jiangzehui/MD,3268,1,0
Android,linsea/UniversalVideoView,3268,2,0
Android,fossasia/open-event-orga-app,3268,36,0
