framework,project,java,properties,jar,build.gradle,pom.xml,manifest.xml,xml,bat,md,adoc,README,yaml,txt,sh,travis.yml,yml,cmd,kt,json,others,numberOfFiles
Android,gowong/material-sheet-fab,24,1,1,3,0,2,19,1,3,0,1,0,0,0,0,0,0,0,0,37,89
Android,kaelaela/OpenGraphView,18,2,1,3,0,2,17,1,1,0,1,0,0,0,0,1,0,7,0,10,61
Android,blazsolar/HorizontalPicker,2,3,1,3,0,2,9,1,3,0,1,0,2,0,0,0,0,0,0,7,31
Android,omkarmoghe/Pokemap,42,2,1,2,0,1,31,1,1,0,1,0,0,0,1,1,0,0,0,22,103
Android,nshmura/RecyclerTabLayout,22,2,1,3,0,2,22,1,2,0,1,0,1,0,0,0,0,0,1,199,254
Android,CoXier/LowPoly,6,2,1,3,0,2,9,1,1,0,1,0,0,0,0,0,0,0,0,14,37
Android,AppLozic/Applozic-Android-SDK,322,4,1,5,0,4,177,1,6,0,1,0,2,0,1,1,0,0,2,304,825
Android,maksim88/PasswordEditText,2,2,1,3,0,2,13,1,2,0,1,0,0,0,0,0,0,0,0,9,33
Android,HITGIF/TextFieldBoxes,11,2,1,3,0,2,24,1,2,0,1,0,0,0,1,2,0,0,0,61,107
Android,payatu/diva-android,21,2,1,2,0,1,35,1,1,0,1,0,0,0,0,0,0,0,0,14,77
Android,requery/sqlite-android,38,1,1,2,0,1,1,1,3,0,1,0,0,0,1,1,0,0,0,19,67
Android,uber/rave,148,5,1,5,0,1,15,0,4,0,1,0,1,1,1,1,0,0,0,7,188
Android,JakeWharton/SwipeToDismissNOA,3,0,1,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,1,9
Android,JorenSix/TarsosDSP,250,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,24,283
Android,tarek360/RichPath,23,2,1,5,0,3,21,1,1,0,1,0,0,0,0,1,0,1,0,19,75
Android,MOLO17/CustomizableCalendar,33,2,1,3,0,2,22,1,1,0,1,0,0,0,0,0,0,0,0,16,79
Android,quiqueqs/BabushkaText,2,2,2,3,0,2,20,1,0,0,0,0,0,0,0,0,0,0,0,19,49
Android,Beseting/PhotoBrowse,10,2,1,3,0,2,18,1,1,0,1,0,0,0,0,0,0,0,0,23,59
Android,markzhai/init,19,2,0,4,0,2,8,0,2,0,1,0,0,0,0,0,0,0,0,9,44
Android,47deg/appsly-android-rest,74,2,1,3,0,2,9,1,1,0,1,0,1,1,1,1,0,0,0,67,161
Android,LuckyJayce/GuideHelper,4,2,1,3,0,2,29,1,2,0,1,0,0,0,0,0,0,0,0,22,64
Android,consenlabs/token-core-android,97,2,1,2,0,1,6,1,1,0,1,0,1,0,0,0,0,0,34,3,148
Android,Xiaofei-it/Hermes,67,2,1,3,0,2,14,1,3,0,1,0,1,0,0,0,0,0,0,9,101
Android,orhanobut/bee,27,2,1,3,0,2,24,1,1,0,1,0,0,0,1,1,0,0,0,37,97
Android,omadahealth/CircularBarPager,9,3,1,3,0,2,11,1,1,0,1,0,0,0,0,0,0,0,0,15,44
Android,MartinRGB/GiftCard-Android,4,1,2,1,0,2,20,1,1,0,1,0,1,0,0,0,0,0,0,169,200
