nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
fenderstr/BoofCV,19074,2914,14812,1348,28,18010,5198,3,36,6,0,0,8,1,1,1,83,23,0,0,0,0,0,0,0,271,41,4,4,0,0,0,0,0,0,0,0,0,667
jacktasia/BoofCV,18672,2837,14504,1331,26,17649,5120,0,34,6,0,0,6,1,0,0,75,18,0,0,0,0,0,0,0,261,40,4,4,0,0,0,0,0,0,0,0,0,649
Hollandaise/BoofCV,18427,2814,14288,1325,26,17406,5092,0,34,6,0,0,6,1,0,0,75,18,0,0,0,0,0,0,0,259,40,4,4,0,0,0,0,0,0,0,0,0,649
siarheidevel/BoofCV,14995,2653,11196,1146,26,14045,4770,0,31,5,0,0,0,0,0,0,60,17,0,0,0,0,0,0,0,225,39,4,4,0,0,0,0,0,0,0,0,0,630
rafaelsoledade/BoofCV,14595,2632,10855,1108,26,13665,4708,0,30,5,0,0,0,0,0,0,60,17,0,0,0,0,0,0,0,211,38,4,4,0,0,0,0,0,0,0,0,0,625
Erdemym/BoofCV,14595,2632,10855,1108,26,13665,4708,0,30,5,0,0,0,0,0,0,60,17,0,0,0,0,0,0,0,211,38,4,4,0,0,0,0,0,0,0,0,0,625
eclissato/BoofCV,14136,2554,10489,1093,26,13219,4602,0,30,5,0,0,0,0,0,0,59,16,0,0,0,0,0,0,0,208,38,4,4,0,0,0,0,0,0,0,0,0,616
abc873693/flutter_crashlytics,2,0,2,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arok/flutter_crashlytics,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exseed-io/flutter_crashlytics,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
saharh/flutter_crashlytics,21,4,17,0,10,0,0,2,1,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,12
push-build-user/pushstrength_flutter_crashlytics,10,0,10,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,3,2,0,0,0,0,0,0,0,0,0,3,2,0,0,1
xinthink/flutter_crashlytics,9,4,5,0,8,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3
benadrasni/flutter_crashlytics,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surengrig/flutter_crashlytics,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
yy1300326388/flutter_crashlytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoanngothanh/PowerMenu,2,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MobileDev418/PowerMenu,4,0,4,0,2,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pikaboo/PowerMenu,33,11,10,12,3,22,22,0,0,0,3,3,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
victorlsn/PowerMenu,2,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mlh1998/VirtualXposed,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Metatronxl/VirtualXposed,918,918,0,0,15,405,405,0,0,0,1,1,0,0,3,3,439,439,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,68
