framework,projeto,target,min
Android,iamMehedi/Secured-Preference-Store,27,18
Android,slymax/webview,28,21
Android,WellingtonCosta/convalida,28,14
Android,xiangtailiang/FakeGPS,23,14
Android,Cleveroad/FireworkyPullToRefresh,24,17
Android,razerdp/FriendCircle,28,17
Android,aliumujib/Nibo,27,16
Android,traex/RippleEffect,23,14
Android,tianzhijiexian/DBinding,25,14
Android,gzsll/WebViewJavascriptBridge,23,14
Android,amilcar-sr/JustifiedTextView,28,14
Android,dingjibang/GDX-RPG,22,8
Android,ihsanbal/Wiv,25,16
Android,florent37/ExpectAnim,25,14
Android,motianhuo/VCameraDemo,16,14
Android,prcaen/external-resources,23,9
Android,lichao315/Calendar,18,8
Android,Catrobat/Catroid,26,19
Android,makovkastar/FloatingActionButton,22,7
Android,ValuesFeng/AndroidPicturePicker,23,11
Android,MichaelEvans/Aftermath,23,15
Android,vlonjatg/progress-activity,26,14
Android,ragdroid/Dahaka,26,16
Android,maxiee/HeartBeat,23,15
Android,openid/AppAuth-Android,27,16
Android,benniaobuguai/android-dynamic-action,21,14
Android,k0shk0sh/PermissionHelper,24,14
Android,grantland/android-autofittextview,23,14
Android,linglongxin24/WelcomeVideoPager,25,9
Android,ManuelPeinado/ImageLayout,19,4
Android,colintheshots/AnDevCon-RxPatterns,24,16
Android,HomHomLin/SlidingLayout,23,9
Android,ryanlijianchang/Recyclerview-Gallery,27,15
Android,tekinarslan/AndroidMaterialDesignToolbar,22,16
Android,nanchen2251/CoordinatorAppBarDemo,25,14
Android,Devlight/TintLayout,23,11
Android,glt/ScreenRecorder,23,9
Android,lessthanoptimal/BoofCV,27,21
Android,wongzy/BetterWay,25,19
Android,kiwi-bop/flutter_crashlytics,16,28
Android,skydoves/PowerMenu,28,15
Android,android-hacker/VirtualXposed,22,15
Android,LaiFeng-Android/SopCastComponent,22,14
Android,aporter/coursera-android,19,16
Android,shardul/Android,15,8
Android,WrBug/DeveloperHelper,28,21
Android,limpoxe/Android-ServiceManager,23,11
Android,wrapp-archive/floatlabelededittext,19,7
Android,emotionsense/SensorManager,23,14
Android,zaihuishou/ExpandableRecyclerview,24,15
Android,jiangzehui/MD,24,15
Android,linsea/UniversalVideoView,23,9
