framework,projeto,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
Android,OCNYang/RecyclerViewEvent,13,13,13,12,76,1,69,3,0,0,0,0,15,1,5,55,0,57,56,21,57,0,1,5,3,48,0,761,118,574,284,267,73,0,0,0,329,433,259,174,0,0,0,0,0,27,27,30,17,0,0,11,0,0,0,0,199,92,92,95,67,11
Android,xinzhazha/RecyclerView,24,24,26,21,122,1,117,0,0,0,0,0,28,2,8,168,0,172,153,77,155,0,3,1,12,139,0,1860,280,1464,500,750,124,0,0,0,778,1070,472,598,0,0,0,0,0,56,55,85,27,0,0,15,0,0,0,1,362,290,285,360,179,24
Android,f2prateek/device-frame-generator,52,47,53,40,283,5,246,19,0,0,0,0,88,27,29,307,0,327,304,173,331,0,90,34,15,192,0,5266,681,3450,1435,1700,1212,0,0,0,1792,2328,1342,986,0,0,0,0,0,121,100,125,58,0,0,33,0,0,0,43,2242,491,465,504,334,58
Android,sealtalk/sealtalk-android,476,457,521,310,2782,78,2367,238,0,0,0,0,899,267,452,3914,0,3990,3739,1607,4006,0,103,466,240,3197,0,56048,7554,41274,13690,23562,7494,0,0,0,21645,29749,13518,16231,0,0,0,0,0,1519,1370,1742,650,0,0,481,0,0,0,35,6684,7988,7692,8694,4601,316
Android,GoodieBag/CarouselPicker,7,7,7,7,39,4,31,2,0,0,0,0,14,0,0,40,0,43,43,14,43,0,3,3,2,35,0,469,91,340,150,155,38,0,0,0,185,246,140,106,0,0,0,0,0,12,12,12,7,0,0,4,0,0,0,0,217,52,50,52,40,7
Android,freeotp/freeotp-android,25,24,27,20,204,12,172,3,0,0,0,0,48,9,11,176,0,177,170,87,179,0,1,15,28,135,0,2716,417,1906,732,1064,400,0,0,0,1122,1424,670,754,0,0,0,0,0,74,70,83,33,0,0,25,0,0,0,0,502,296,287,317,193,20
Android,ryanhoo/fir.flight,147,145,150,109,766,7,694,40,0,0,0,0,221,41,191,734,0,840,799,269,840,0,110,59,46,625,0,9599,1515,6596,3139,2874,1525,0,0,0,3416,4589,2769,1820,0,0,0,0,0,279,266,292,128,0,0,104,0,0,0,22,3929,1037,1024,1058,765,123
Android,xujiaji/HappyBubble,20,13,20,14,137,3,120,8,0,0,0,0,25,5,0,102,0,98,99,90,104,0,4,9,6,85,0,1934,204,1496,359,872,251,0,0,0,791,979,337,642,0,0,0,0,0,92,46,95,49,0,0,9,0,0,0,1,317,250,186,267,144,11
Android,saket/Better-Link-Movement-Method,6,5,6,5,39,2,33,2,0,0,0,0,11,11,2,43,0,46,32,13,43,0,3,10,13,17,0,627,100,417,165,218,110,0,0,0,231,313,160,153,0,0,0,0,0,24,18,27,8,0,0,4,0,0,0,0,43,79,73,84,46,5
Android,imshyam/mintube,37,35,39,20,286,13,251,22,0,0,0,0,54,34,72,163,0,165,131,106,165,0,4,19,15,127,0,3070,394,2442,720,1539,258,0,0,0,1356,1709,687,1022,0,0,0,0,0,83,76,89,30,0,0,27,0,0,0,5,266,339,329,357,180,22
Android,firefly1126/android_permission_aspectjx,16,16,18,15,88,5,80,0,0,0,0,0,30,7,8,69,0,69,62,8,69,0,0,9,7,53,0,990,171,692,280,327,128,0,0,0,312,437,252,185,0,0,0,0,0,34,31,39,19,0,0,9,0,0,0,1,484,113,110,126,75,15
Android,xmuSistone/stickyViewpager,17,17,18,12,107,8,87,6,0,0,0,0,53,2,205,204,0,207,209,119,211,0,1,49,14,147,0,3944,615,2265,899,1355,1068,0,0,0,1258,1657,831,826,0,0,0,0,0,59,53,67,29,0,0,23,0,0,0,2,242,385,378,418,237,14
Android,maddevsio/mad-location-manager,38,38,42,28,319,19,278,13,0,0,0,0,46,29,32,241,0,247,213,191,242,0,17,20,12,193,0,3885,569,3141,1201,1829,228,0,0,0,1844,2356,1018,1338,0,0,0,0,0,89,89,100,52,0,0,36,0,0,0,0,650,461,458,491,288,33
Android,arturogutierrez/Badges,13,13,16,11,71,2,58,7,0,0,0,0,11,2,10,29,0,31,29,4,31,0,0,2,3,26,0,528,78,248,129,99,203,0,0,0,138,185,117,68,0,0,0,0,0,18,18,21,11,0,0,6,0,0,0,5,567,36,36,39,29,11
Android,Jichensheng/Fish_2,5,5,5,5,38,1,27,7,0,0,0,0,9,5,12,45,0,45,40,23,45,0,0,11,3,31,0,703,86,450,197,266,178,0,0,0,313,367,185,182,0,0,0,0,0,10,10,10,8,0,0,2,0,0,0,0,174,51,51,51,48,5
Android,vickychijwani/quill,159,158,171,135,912,23,800,68,0,0,0,0,232,152,111,1084,0,1137,877,387,1029,0,72,129,49,779,0,13073,2145,9997,4460,4861,1048,0,0,0,5388,7140,3898,3242,0,0,0,0,0,366,356,407,217,0,0,94,0,0,0,6,1820,1722,1689,1823,1213,154
Android,SalomonBrys/ANR-WatchDog,4,4,5,4,44,2,36,4,0,0,0,0,25,5,5,42,0,45,40,20,45,0,6,7,1,31,0,599,87,391,122,231,121,0,0,0,183,264,123,141,0,0,0,0,0,19,17,25,12,0,0,7,0,0,0,0,92,69,67,75,50,4
Android,DavidPizarro/PickerUI,14,14,18,9,196,18,129,43,0,0,0,0,28,8,24,157,0,156,152,81,160,0,20,30,4,106,0,2474,326,1494,487,882,654,0,0,0,837,1103,464,639,0,0,0,0,0,44,44,45,11,0,0,16,0,0,0,3,362,262,262,272,159,9
Android,mcharmas/shoppinglist-clean-architecture-example,53,53,55,53,259,4,253,0,0,0,0,0,100,3,10,257,0,284,281,97,284,0,35,17,23,209,0,2484,437,2045,1006,724,2,0,0,0,1106,1509,976,533,0,0,0,0,0,93,93,98,57,0,0,29,0,0,0,0,5,317,317,322,262,62
