framework,projeto,caminho,versao,,vesoes,repeticoes,,,
Spring,aws-samples/amazon-ecs-java-microservices,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aws-samples/amazon-ecs-java-microservices/2_ECS_Java_Spring_PetClinic_Microservices/spring-petclinic-rest-system/pom.xml,1.5.2.RELEASE,,,,,,
Spring,aws-samples/amazon-ecs-java-microservices,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aws-samples/amazon-ecs-java-microservices/2_ECS_Java_Spring_PetClinic_Microservices/spring-petclinic-rest-vet/pom.xml,1.5.2.RELEASE,,,,,,
Spring,aws-samples/amazon-ecs-java-microservices,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aws-samples/amazon-ecs-java-microservices/2_ECS_Java_Spring_PetClinic_Microservices/spring-petclinic-rest-visit/pom.xml,1.5.2.RELEASE,,,,,,
Spring,aws-samples/amazon-ecs-java-microservices,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aws-samples/amazon-ecs-java-microservices/3_ECS_Java_Spring_PetClinic_CICD/spring-petclinic-rest-owner/pom.xml,1.5.2.RELEASE,,,,,,
Spring,aws-samples/amazon-ecs-java-microservices,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aws-samples/amazon-ecs-java-microservices/3_ECS_Java_Spring_PetClinic_CICD/spring-petclinic-rest-pet/pom.xml,1.5.2.RELEASE,,,,,,
Spring,aws-samples/amazon-ecs-java-microservices,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aws-samples/amazon-ecs-java-microservices/3_ECS_Java_Spring_PetClinic_CICD/spring-petclinic-rest-system/pom.xml,1.5.2.RELEASE,,,,,,
Spring,aws-samples/amazon-ecs-java-microservices,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aws-samples/amazon-ecs-java-microservices/3_ECS_Java_Spring_PetClinic_CICD/spring-petclinic-rest-vet/pom.xml,1.5.2.RELEASE,,,,,,
Spring,aws-samples/amazon-ecs-java-microservices,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aws-samples/amazon-ecs-java-microservices/3_ECS_Java_Spring_PetClinic_CICD/spring-petclinic-rest-visit/pom.xml,1.5.2.RELEASE,,,,,,
Spring,ngbdf/redis-manager,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ngbdf/redis-manager/pom.xml,1.5.2.RELEASE,,,,,,
Spring,wyh-spring-ecosystem-student/spring-boot-student,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/wyh-spring-ecosystem-student/spring-boot-student/spring-boot-student-config/bin/pom.xml,1.5.3.RELEASE,,,,,,
Spring,JThink/SkyEye,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/JThink/SkyEye/skyeye-statistics/pom.xml,1.5.6.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-dubbo/pom.xml,1.5.7.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-kafka/pom.xml,1.5.7.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-logback/pom.xml,1.5.7.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-mybatis/pom.xml,1.5.7.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-rabbitmq/pom.xml,1.5.7.RELEASE,,,,,,
