framework,projeto,caminho,minSdkVersion,targetSdkVersion,,api level,min,target,,,,,,,,,,,,
Android,Xiaofei-it/Hermes,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Xiaofei-it/Hermes/app/build.gradle,9,23,,,,,,,,,,,,,,,,
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/httpdns_api_demo/build.gradle,10,23,,,,,,,,,,,,,,,,
Android,D-clock/AndroidStudyCode,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/D-clock/AndroidStudyCode/build.gradle,11,23,,,,,,,,,,,,,,,,
Android,Devlight/TintLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Devlight/TintLayout/app/build.gradle,11,23,,,,,,,,,,,,,,,,
Android,Devlight/TintLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Devlight/TintLayout/tintlayout/build.gradle,11,23,,,,,,,,,,,,,,,,
Android,limpoxe/Android-ServiceManager,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/limpoxe/Android-ServiceManager/app/build.gradle,11,23,,,,,,,,,,,,,,,,
Android,ValuesFeng/AndroidPicturePicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ValuesFeng/AndroidPicturePicker/app/build.gradle,11,23,,,,,,,,,,,,,,,,
Android,ValuesFeng/AndroidPicturePicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ValuesFeng/AndroidPicturePicker/gallery/build.gradle,11,23,,,,,,,,,,,,,,,,
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/hotfix_android_demo/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,andrebts/login-basics,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/andrebts/login-basics/app/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,blazsolar/HorizontalPicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/blazsolar/HorizontalPicker/HorizontalPicker/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,blazsolar/HorizontalPicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/blazsolar/HorizontalPicker/HorizontalPickerExample/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,CoXier/LowPoly,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/CoXier/LowPoly/app/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,CoXier/LowPoly,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/CoXier/LowPoly/lowpoly/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,emotionsense/SensorManager,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/emotionsense/SensorManager/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,gowong/material-sheet-fab,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/gowong/material-sheet-fab/material-sheet-fab/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,gowong/material-sheet-fab,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/gowong/material-sheet-fab/sample/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,grantland/android-autofittextview,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/grantland/android-autofittextview/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,gzsll/WebViewJavascriptBridge,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/gzsll/WebViewJavascriptBridge/app/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,gzsll/WebViewJavascriptBridge,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/gzsll/WebViewJavascriptBridge/library/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,MichaelEvans/Aftermath,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MichaelEvans/Aftermath/aftermath/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,SpikeKing/wcl-permission-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/SpikeKing/wcl-permission-demo/app/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/sample/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,xiangtailiang/FakeGPS,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xiangtailiang/FakeGPS/app/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,xiangtailiang/FakeGPS,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xiangtailiang/FakeGPS/loggerlibrary/build.gradle,14,23,,,,,,,,,,,,,,,,
Android,AndroidMsky/RandomTextView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/AndroidMsky/RandomTextView/app/build.gradle,15,23,,,,,,,,,,,,,,,,
Android,AndroidMsky/RandomTextView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/AndroidMsky/RandomTextView/randomtextviewlibrary/build.gradle,15,23,,,,,,,,,,,,,,,,
Android,florina-muntenescu/MVPvsMVVM,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/florina-muntenescu/MVPvsMVVM/app/build.gradle,15,23,,,,,,,,,,,,,,,,
Android,jiang111/ProgressView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jiang111/ProgressView/app/build.gradle,15,23,,,,,,,,,,,,,,,,
Android,kaaes/spotify-web-api-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/kaaes/spotify-web-api-android/sample-search/build.gradle,15,23,,,,,,,,,,,,,,,,
Android,kaaes/spotify-web-api-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/kaaes/spotify-web-api-android/spotify-api/build.gradle,15,23,,,,,,,,,,,,,,,,
Android,maxiee/HeartBeat,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/maxiee/HeartBeat/app/build.gradle,15,23,,,,,,,,,,,,,,,,
Android,maxiee/HeartBeat,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/maxiee/HeartBeat/multi-image-selector/build.gradle,15,23,,,,,,,,,,,,,,,,
Android,MichaelEvans/Aftermath,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MichaelEvans/Aftermath/sample/build.gradle,15,23,,,,,,,,,,,,,,,,
Android,NikoYuwono/ToolbarPanel,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/NikoYuwono/ToolbarPanel/sample/build.gradle,15,23,,,,,,,,,,,,,,,,
Android,payatu/diva-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/payatu/diva-android/app/build.gradle,15,23,,,,,,,,,,,,,,,,
Android,guozhengXia/OkHttpUtils,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/guozhengXia/OkHttpUtils/OkhttpUtils/build.gradle,16,23,,,,,,,,,,,,,,,,
Android,guozhengXia/OkHttpUtils,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/guozhengXia/OkHttpUtils/sampleokhttp/build.gradle,16,23,,,,,,,,,,,,,,,,
Android,lukaspili/Reactive-Billing,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/lukaspili/Reactive-Billing/sample/build.gradle,16,23,,,,,,,,,,,,,,,,
Android,google/android-classyshark,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/google/android-classyshark/ClassySharkAndroid/app/build.gradle,19,23,,,,,,,,,,,,,,,,
Android,aporter/coursera-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aporter/coursera-android/Examples2018/UIDatePicker/app/build.gradle,21,23,,,,,,,,,,,,,,,,
Android,hitherejoe/AndroidTvBoilerplate,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/hitherejoe/AndroidTvBoilerplate/app/build.gradle,21,23,,,,,,,,,,,,,,,,
Android,jacobrosenthal/react-native-ble,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jacobrosenthal/react-native-ble/android/build.gradle,21,23,,,,,,,,,,,,,,,,
