framework,projeto,arquivo,minSdkVersion/version,targetSdk/groupId,compileSdk/artifactId
Android,brianwernick/ExoMedia,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/brianwernick/ExoMedia/build.gradle,information not found,information not found,information not found
Android,brianwernick/ExoMedia,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/brianwernick/ExoMedia/demo/build.gradle,16,28,28
Android,brianwernick/ExoMedia,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/brianwernick/ExoMedia/library/build.gradle,14,28,28
Android,seatgeek/android-PlacesAutocompleteTextView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/seatgeek/android-PlacesAutocompleteTextView/build.gradle,information not found,information not found,information not found
Android,seatgeek/android-PlacesAutocompleteTextView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/seatgeek/android-PlacesAutocompleteTextView/placesautocomplete/build.gradle,Integer.parseInt(MIN_SDK_VERSION),Integer.parseInt(TARGET_SDK_VERSION),Integer.parseInt(TARGET_SDK_VERSION)
Android,seatgeek/android-PlacesAutocompleteTextView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/seatgeek/android-PlacesAutocompleteTextView/demo-app/build.gradle,,,Integer.parseInt(TARGET_SDK_VERSION)
Android,manmal/hn-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/manmal/hn-android/build.gradle,information not found,information not found,information not found
Android,manmal/hn-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/manmal/hn-android/app/build.gradle,information not found,information not found,information not found
Android,codesoup/android-cubic-bezier-interpolator,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/codesoup/android-cubic-bezier-interpolator/build.gradle,information not found,information not found,information not found
Android,codesoup/android-cubic-bezier-interpolator,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/codesoup/android-cubic-bezier-interpolator/cubic-bezier/build.gradle,15,20,20
Android,anzaizai/EasyRefreshLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/anzaizai/EasyRefreshLayout/build.gradle,information not found,information not found,information not found
Android,anzaizai/EasyRefreshLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/anzaizai/EasyRefreshLayout/library/build.gradle,14,25,25
